GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Orne I18N,dev.orne.i18n,I18nStringEditor,0,25,0,4,0,10,0,5,0,3
Orne I18N,dev.orne.i18n,I18nStringJacksonDeserializer,0,130,0,22,0,35,0,17,0,6
Orne I18N,dev.orne.i18n,I18nStringJacksonSerializer,0,56,1,5,0,17,1,7,0,5
Orne I18N,dev.orne.i18n,I18nStringGenerator,0,49,0,3,0,8,0,5,0,3
Orne I18N,dev.orne.i18n,I18nFixedString,0,96,0,14,0,25,0,18,0,11
Orne I18N,dev.orne.i18n,I18nStringMapGenerator,0,57,0,2,0,11,0,4,0,3
Orne I18N,dev.orne.i18n,I18nStringMap,0,265,0,22,0,67,0,30,0,19
Orne I18N,dev.orne.i18n,I18nStringJacksonSerializer.MapAsObject,0,4,0,0,0,2,0,1,0,1
Orne I18N,dev.orne.i18n,I18nStringMapEditor,0,27,0,4,0,10,0,5,0,3
Orne I18N,dev.orne.i18n,I18N,0,17,0,0,0,6,0,5,0,5
Orne I18N,dev.orne.i18n,I18nConfigurationException,0,23,0,0,0,10,0,5,0,5
Orne I18N,dev.orne.i18n,I18nString,0,11,0,0,0,3,0,3,0,3
Orne I18N,dev.orne.i18n,I18nFixedStringGenerator,0,25,0,0,0,4,0,3,0,3
Orne I18N,dev.orne.i18n,I18nResourcesString,0,217,0,12,0,45,0,21,0,15
Orne I18N,dev.orne.i18n,I18nResources,0,14,0,0,0,2,0,2,0,2
Orne I18N,dev.orne.i18n,I18nResourcesString.Builder,0,104,0,0,0,25,0,13,0,13
Orne I18N,dev.orne.i18n,I18nResourcesStringGenerator,0,79,0,6,0,18,0,6,0,3
Orne I18N,dev.orne.i18n.spring,I18nSpringResources,0,62,0,4,0,16,0,6,0,4
Orne I18N,dev.orne.i18n.spring,I18nSpringWebContextClearer,0,13,0,0,0,6,0,3,0,3
Orne I18N,dev.orne.i18n.spring,I18nSpringConfiguration.new I18nSpringConfigurer() {...},0,3,0,0,0,1,0,1,0,1
Orne I18N,dev.orne.i18n.spring,I18nSpringConfigurer,0,6,0,0,0,3,0,2,0,2
Orne I18N,dev.orne.i18n.spring,I18nSpringContextProvider.BuilderImpl,0,27,0,0,0,7,0,4,0,4
Orne I18N,dev.orne.i18n.spring,I18nSpringConfigurationSelector,0,23,0,0,0,6,0,2,0,2
Orne I18N,dev.orne.i18n.spring,I18nSpringContextProvider.Builder,0,4,0,0,0,1,0,1,0,1
Orne I18N,dev.orne.i18n.spring,I18nSpringContext,0,78,0,6,0,26,0,11,0,8
Orne I18N,dev.orne.i18n.spring,I18nSpringWebConfiguration,0,7,0,0,0,3,0,2,0,2
Orne I18N,dev.orne.i18n.spring,I18nSpringContextProvider,0,34,0,0,0,12,0,5,0,5
Orne I18N,dev.orne.i18n.spring,I18nSpringConfiguration,0,137,3,15,0,40,3,18,0,12
Orne I18N,dev.orne.i18n.validation,AbstractValidatorForI18nString,0,50,0,10,0,17,0,7,0,2
Orne I18N,dev.orne.i18n.validation,SizeValidatorForI18nString,0,56,0,10,0,15,0,9,0,4
Orne I18N,dev.orne.i18n.validation,NotBlankValidatorForI18nString,0,20,0,4,0,6,0,5,0,3
Orne I18N,dev.orne.i18n.validation,PatternValidatorForI18nString,0,50,0,2,0,12,0,4,0,3
Orne I18N,dev.orne.i18n.validation,NotEmptyValidatorForI18nString,0,19,0,4,0,6,0,5,0,3
Orne I18N,dev.orne.i18n.jaxb,I18nResourcesStringAdapter.Full,0,6,0,0,0,3,0,2,0,2
Orne I18N,dev.orne.i18n.jaxb,XmlI18nStringTranslation,0,17,0,0,0,8,0,5,0,5
Orne I18N,dev.orne.i18n.jaxb,I18nStringAdapter,0,9,0,0,0,4,0,3,0,3
